"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-007.wav_1059",1,0.04,0.149501133787006,1.9031,4.2656,"Haemorhous-mexicanus-474138.wav_5","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_5",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_5",16.822704587466
"200303-007.wav_1060",1,0.04,0.298390022675997,1.7062,4.4625,"Haemorhous-mexicanus-474138.wav_6","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_6",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_6",13.273859051356
"200303-007.wav_1061",1,0.04,0.250226757370009,2.2312,4.8562,"Haemorhous-mexicanus-474138.wav_7","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_7",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_7",8.9941914173523
"200303-007.wav_1062",1,0.04,0.127596371882,2.8638,5.8071,"Melospiza-melodia-111641.wav_1","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_1",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_1",8.86084690002627
"200303-007.wav_1063",1,0.04,0.136371882086004,3.1024,6.1253,"Melospiza-melodia-111641.wav_2","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_2",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_2",8.30772779671497
"200303-007.wav_1064",1,0.04,0.136371882086004,3.0229,5.8867,"Melospiza-melodia-111641.wav_3","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_3",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_3",7.66417725282081
"200303-007.wav_1065",1,0.04,0.635600907028995,2.2274,8.1141,"Melospiza-melodia-111641.wav_4","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_4",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_4",8.51158860545833
"200303-007.wav_1066",1,0.04,0.118843537414997,2.3069,8.9095,"Melospiza-melodia-111641.wav_5","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_5",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_5",6.13303853358978
"200303-007.wav_1067",1,0.04,0.10133786848099,2.9433,8.9891,"Melospiza-melodia-111641.wav_6","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_6",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_6",4.40055506536989
"200303-007.wav_1068",1,0.04,0.276507936507991,1.2728,5.0912,"Melospiza-melodia-111641.wav_7","Paulina","desierto_cerrado","Melospiza-melodia-111641.wav_7",25,0.29,10,"cerrado",1,"Melospiza-melodia-111641.wav_7",10.5119452785774
"200303-007.wav_1069",1,0.04,0.171405895691984,1.6705,8.4322,"Melospiza-melodia-125721.wav_1","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_1",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_1",3.79333550602535
"200303-007.wav_1070",1,0.04,0.136371882086004,1.9887,5.0116,"Melospiza-melodia-125721.wav_2","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_2",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_2",7.18997503432481
"200303-007.wav_1071",1,0.04,0.149501133787006,1.7501,7.8754,"Melospiza-melodia-125721.wav_3","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_3",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_3",3.34924064476909
"200303-007.wav_1072",1,0.04,0.162630385486985,2.3865,8.2731,"Melospiza-melodia-125721.wav_4","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_4",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_4",4.26283732636692
"200303-007.wav_1073",1,0.04,0.16263038548798,2.2274,8.2731,"Melospiza-melodia-125721.wav_5","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_5",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_5",5.79657283644304
"200303-007.wav_1074",1,0.04,0.447278911563992,2.7047,8.9891,"Melospiza-melodia-125721.wav_6","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_6",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_6",5.91091335116593
"200303-007.wav_1075",1,0.04,0.228321995465003,1.7501,4.5343,"Melospiza-melodia-125721.wav_7","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_7",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_7",14.5485424402827
"200303-007.wav_1076",1,0.04,0.0881859410430161,3.1024,8.9891,"Melospiza-melodia-125721.wav_8","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_8",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_8",4.31262435461031
"200303-007.wav_1077",1,0.04,0.127596371882,2.7047,6.7617,"Melospiza-melodia-125721.wav_9","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_9",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_9",6.931640446624
"200303-007.wav_1078",1,0.04,0.329047619048006,2.0683,3.3411,"Melospiza-melodia-125721.wav_10","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_10",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_10",19.5964971355943
"200303-007.wav_1079",1,0.04,0.131995464852999,4.057,10.0232,"Melospiza-melodia-125721.wav_11","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_11",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_11",8.85481315061527
"200303-007.wav_1080",1,0.04,0.131995464852005,2.7842,5.2503,"Melospiza-melodia-125721.wav_12","Paulina","desierto_abierto","Melospiza-melodia-125721.wav_12",25,0.29,10,"cerrado",1,"Melospiza-melodia-125721.wav_12",6.38463552014649
"200303-007.wav_1081",1,0.04,0.307142857143,2.1478,4.8525,"Melospiza-melodia-125723.wav_1","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_1",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_1",8.45231230638357
"200303-007.wav_1082",1,0.04,0.355328798186044,1.9887,4.6934,"Melospiza-melodia-125723.wav_2","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_2",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_2",7.60227855389892
"200303-007.wav_1083",1,0.04,0.355328798185988,1.9092,4.773,"Melospiza-melodia-125723.wav_3","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_3",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_3",12.8145101867908
"200303-007.wav_1084",1,0.04,0.33342403628101,1.9887,4.6934,"Melospiza-melodia-125723.wav_4","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_4",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_4",12.8844142332895
"200303-007.wav_1085",1,0.04,0.0881859410430161,3.182,8.3527,"Melospiza-melodia-125723.wav_5","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_5",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_5",5.56416154525617
"200303-007.wav_1086",1,0.04,0.0838095238100118,3.1024,8.2731,"Melospiza-melodia-125723.wav_6","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_6",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_6",7.22091062000317
"200303-007.wav_1087",1,0.04,0.0881859410429593,3.2615,8.5913,"Melospiza-melodia-125723.wav_7","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_7",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_7",6.34665849813847
"200303-007.wav_1088",1,0.04,0.0794331065759843,3.1024,8.4322,"Melospiza-melodia-125723.wav_8","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_8",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_8",6.80412260459775
"200303-007.wav_1089",1,0.04,0.0925623582760204,3.2615,8.2731,"Melospiza-melodia-125723.wav_9","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_9",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_9",1.47339489202013
"200303-007.wav_1090",1,0.04,0.0881859410439824,3.4206,8.5118,"Melospiza-melodia-125723.wav_10","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_10",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_10",6.82137501345507
"200303-007.wav_1091",1,0.04,0.0881859410430161,3.4206,8.0345,"Melospiza-melodia-125723.wav_11","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_11",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_11",8.27337357815709
"200303-007.wav_1092",1,0.04,0.0925623582760204,3.5002,7.955,"Melospiza-melodia-125723.wav_12","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_12",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_12",6.77058913488435
"200303-007.wav_1093",1,0.04,0.0925623582769868,3.5002,8.1141,"Melospiza-melodia-125723.wav_13","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_13",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_13",6.06316878093686
"200303-007.wav_1094",1,0.04,0.101337868480962,3.5002,8.1141,"Melospiza-melodia-125723.wav_14","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_14",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_14",5.99089172649774
"200303-007.wav_1095",1,0.04,0.101337868479995,3.3411,8.1141,"Melospiza-melodia-125723.wav_15","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_15",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_15",4.28905972120763
"200303-007.wav_1096",1,0.04,0.0881859410430161,0.6364,3.2615,"Melospiza-melodia-125723.wav_16","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_16",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_16",19.8446189021247
"200303-007.wav_1097",1,0.04,0.188911564625962,2.8638,8.1936,"Melospiza-melodia-125723.wav_17","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_17",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_17",7.05924917981459
"200303-007.wav_1098",1,0.04,0.320294784580974,1.4319,3.5002,"Melospiza-melodia-125723.wav_18","Paulina","desierto_abierto","Melospiza-melodia-125723.wav_18",25,0.29,10,"cerrado",1,"Melospiza-melodia-125723.wav_18",20.6331486069959
"200303-007.wav_1099",1,0.04,0.285260770975051,2.1478,4.1366,"Melospiza-melodia-128904.wav_1","Paulina","desierto_abierto","Melospiza-melodia-128904.wav_1",25,0.29,10,"cerrado",1,"Melospiza-melodia-128904.wav_1",18.1621181699044
"200303-007.wav_1100",1,0.04,0.294013605442026,2.3865,4.057,"Melospiza-melodia-128904.wav_2","Paulina","desierto_abierto","Melospiza-melodia-128904.wav_2",25,0.29,10,"cerrado",1,"Melospiza-melodia-128904.wav_2",18.1543877253106
